                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1656,                 22.833,                 1.6874,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.07075,                0.00325,                0.00325
                      1,                 1.7202,                 5.8741,                 1.4032,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.040489,              0.0063226,              0.0063226
                      2,                 1.5645,                  4.271,                 1.3749,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099646,              0.0091313,              0.0091313
                      3,                 1.4481,                 3.0011,                 1.2188,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008812,               0.008812,               0.008812
                      4,                 1.4905,                 3.2151,                 1.3163,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008812,               0.008812,               0.008812
                      5,                 1.4516,                 2.6257,                 1.2975,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008416,               0.008416,               0.008416
                      6,                 1.4176,                 2.4787,                 1.2608,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00802,                0.00802,                0.00802
                      7,                 1.3881,                 2.1514,                 1.2153,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007624,               0.007624,               0.007624
                      8,                  1.296,                 2.0943,                 1.1728,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007228,               0.007228,               0.007228
                      9,                 1.2402,                 1.5148,                  1.141,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006832,               0.006832,               0.006832
                     10,                 1.3053,                 1.8038,                 1.1749,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006436,               0.006436,               0.006436
                     11,                 1.2436,                 1.9069,                 1.1639,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     12,                 1.1353,                 1.4454,                 1.0648,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005644,               0.005644,               0.005644
                     13,                   1.19,                  1.513,                 1.1717,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005248,               0.005248,               0.005248
                     14,                 1.1824,                 1.3119,                   1.15,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004852,               0.004852,               0.004852
                     15,                 1.0859,                 1.4601,                 1.0599,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004456,               0.004456,               0.004456
                     16,                 1.1837,                 1.2712,                 1.1564,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                     17,                 1.0812,                 1.1238,                 1.0759,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003664,               0.003664,               0.003664
                     18,                 1.0214,                 1.1428,                 1.0454,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003268,               0.003268,               0.003268
                     19,                   1.03,                 1.1999,                 1.0454,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002872,               0.002872,               0.002872
                     20,                 1.0311,                 1.2772,                 1.0497,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002476,               0.002476,               0.002476
                     21,                 1.1604,                 1.1504,                 1.0555,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00208,                0.00208,                0.00208
                     22,                0.95431,                  1.039,                0.97324,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001684,               0.001684,               0.001684
                     23,                0.98202,                  1.039,                 1.0009,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001288,               0.001288,               0.001288
                     24,                 1.0093,                  1.026,                 1.0239,                0.77043,                0.56666,                0.56548,                0.43825,                0.89018,                0.77548,                0.92838,               0.000892,               0.000892,               0.000892
