                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0105,                  8.132,                 1.8645,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0775,                 0.0025,                 0.0025
                      1,                  2.997,                 5.1436,                 1.8481,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.053932,              0.0049317,              0.0049317
                      2,                  2.817,                 4.0776,                 1.7061,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.030192,              0.0071918,              0.0071918
                      3,                  2.895,                 4.2031,                 1.6891,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00901,                0.00901,                0.00901
                      4,                 2.8423,                 3.7079,                 1.6189,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00901,                0.00901,                0.00901
                      5,                 2.8167,                 3.6314,                 1.6356,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00868,                0.00868,                0.00868
                      6,                 2.6735,                 3.4132,                 1.6146,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00835,                0.00835,                0.00835
                      7,                 2.5583,                  3.243,                 1.5013,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00802,                0.00802,                0.00802
                      8,                 2.6684,                 3.1391,                 1.5323,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00769,                0.00769,                0.00769
                      9,                 2.6059,                 3.2233,                 1.5633,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00736,                0.00736,                0.00736
                     10,                 2.6634,                 3.2566,                 1.5338,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00703,                0.00703,                0.00703
                     11,                  2.563,                 3.1094,                 1.4996,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0067,                 0.0067,                 0.0067
                     12,                 2.4948,                 3.0045,                 1.4436,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00637,                0.00637,                0.00637
                     13,                 2.5969,                 2.9761,                 1.5366,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     14,                 2.4746,                 2.9694,                  1.454,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00571,                0.00571,                0.00571
                     15,                 2.4778,                 2.8782,                 1.4406,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00538,                0.00538,                0.00538
                     16,                 2.5879,                 3.0843,                 1.5353,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00505,                0.00505,                0.00505
