                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0105,                  8.132,                 1.8645,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0775,                 0.0025,                 0.0025
                      1,                 2.9931,                 5.1277,                 1.8401,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.054033,              0.0050327,              0.0050327
                      2,                  2.812,                 4.0683,                 1.6851,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.030497,              0.0074967,              0.0074967
                      3,                 2.8364,                 4.1855,                 1.6612,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
                      4,                 2.7909,                 3.7325,                 1.5853,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
                      5,                 2.8013,                 3.6114,                  1.625,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009472,               0.009472,               0.009472
                      6,                 2.6439,                 3.4271,                 1.5907,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00934,                0.00934,                0.00934
                      7,                 2.5734,                 3.3087,                  1.496,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009208,               0.009208,               0.009208
                      8,                 2.6309,                 3.1827,                 1.5231,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009076,               0.009076,               0.009076
                      9,                 2.6217,                 3.2373,                 1.5569,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008944,               0.008944,               0.008944
                     10,                 2.6949,                 3.3483,                 1.5317,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008812,               0.008812,               0.008812
                     11,                 2.6035,                 3.3964,                 1.4926,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00868,                0.00868,                0.00868
                     12,                 2.5836,                 3.2527,                 1.4593,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008548,               0.008548,               0.008548
                     13,                  2.632,                 3.0698,                 1.5326,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008416,               0.008416,               0.008416
                     14,                 2.5282,                 3.0822,                 1.4711,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008284,               0.008284,               0.008284
                     15,                 2.5265,                 2.9638,                  1.452,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008152,               0.008152,               0.008152
