                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1624,                 26.152,                 1.6836,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.07075,                0.00325,                0.00325
                      1,                 1.8387,                 6.3497,                 1.4566,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.040743,              0.0065768,              0.0065768
                      2,                 1.5992,                 4.2744,                 1.4203,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.01073,               0.009897,               0.009897
                      3,                 1.5356,                 3.8935,                 1.2708,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099703,              0.0099703,              0.0099703
                      4,                 1.7877,                 7.3789,                 1.4911,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.6689,                 4.1576,                 1.3121,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099604,              0.0099604,              0.0099604
                      6,                  1.586,                 3.5656,                 1.2889,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.5725,                 2.9285,                 1.2712,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.4285,                 3.2986,                 1.1897,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.3623,                 2.4017,                 1.1559,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.4021,                 2.4726,                 1.2055,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.2923,                 2.2182,                 1.1533,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009901,               0.009901,               0.009901
                     12,                 1.2381,                 2.0194,                 1.1061,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.3149,                 1.9542,                 1.2053,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098812,              0.0098812,              0.0098812
                     14,                    1.3,                 1.6605,                 1.1508,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.3173,                 1.9061,                 1.2101,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.1779,                 1.5975,                 1.0834,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.2545,                  1.667,                 1.1485,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.3143,                 1.5173,                 1.1335,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.3006,                 1.5394,                 1.1084,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.3355,                 1.7115,                 1.1448,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098119,              0.0098119,              0.0098119
