                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2419,                 1.7729,                 1.0801,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0892,                 0.0012,                 0.0012
                      1,                 1.1977,                 1.4988,                 1.0957,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.077478,              0.0024785,              0.0024785
                      2,                  1.263,                 1.5155,                 1.1474,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.065735,              0.0037346,              0.0037346
                      3,                 1.1018,                 1.2686,                 1.0708,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.053968,              0.0049683,              0.0049683
                      4,                 1.1168,                 1.1571,                 1.0054,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.04218,              0.0061796,              0.0061796
                      5,                 1.0364,                 1.1466,                0.99111,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.030369,              0.0073686,              0.0073686
                      6,                 1.1204,                 1.3096,                 1.0387,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.018535,              0.0085351,              0.0085351
