                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2769,                 1.8852,                 1.1265,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0829,                 0.0019,                 0.0019
                      1,                   1.24,                 1.4394,                 1.1169,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.064866,              0.0038664,              0.0038664
                      2,                 1.1817,                 1.2894,                 1.0465,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.046798,              0.0057984,              0.0057984
                      3,                 1.0986,                 1.3453,                 1.0573,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.028696,               0.007696,               0.007696
                      4,                 1.2293,                 1.4438,                 1.0761,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.010559,              0.0095591,              0.0095591
                      5,                 1.2489,                  1.419,                 1.0844,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0095696,              0.0095696,              0.0095696
                      6,                 1.1893,                 1.5582,                 1.1139,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0095696,              0.0095696,              0.0095696
                      7,                 1.0719,                 1.2847,                 1.0043,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0094835,              0.0094835,              0.0094835
                      8,                 1.1938,                 1.8192,                 1.0633,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0093974,              0.0093974,              0.0093974
                      9,                 1.1461,                 1.4293,                 1.0725,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0093113,              0.0093113,              0.0093113
                     10,                 1.1817,                 1.2888,                  1.075,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0092252,              0.0092252,              0.0092252
                     11,                 1.1948,                 1.2508,                 1.0553,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0091391,              0.0091391,              0.0091391
                     12,                 1.0921,                 1.1693,                 1.0406,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009053,               0.009053,               0.009053
                     13,                 1.2165,                 1.2288,                 1.0613,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008967,               0.008967,               0.008967
                     14,                  1.103,                 1.2221,                0.99786,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0088809,              0.0088809,              0.0088809
                     15,                 1.2081,                 1.2819,                 1.1034,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0087948,              0.0087948,              0.0087948
                     16,                 1.1523,                  1.216,                 1.0501,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0087087,              0.0087087,              0.0087087
                     17,                 1.0485,                 1.0857,                0.99974,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0086226,              0.0086226,              0.0086226
                     18,                 1.1817,                 1.2729,                 1.0947,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0085365,              0.0085365,              0.0085365
                     19,                 1.1685,                 1.1587,                 1.0293,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0084504,              0.0084504,              0.0084504
                     20,                 1.2155,                 1.3199,                 1.1445,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0083643,              0.0083643,              0.0083643
                     21,                 1.0533,                 1.1921,                 1.0301,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0082783,              0.0082783,              0.0082783
                     22,                 1.1175,                 1.1531,                  1.038,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0081922,              0.0081922,              0.0081922
                     23,                 1.0785,                 1.0729,                 1.0142,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0081061,              0.0081061,              0.0081061
                     24,                 1.1023,                 1.0709,                0.99485,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00802,                0.00802,                0.00802
                     25,                 1.1536,                 1.0787,                 1.0498,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0079339,              0.0079339,              0.0079339
                     26,                 1.0725,                 1.0689,                 1.0248,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0078478,              0.0078478,              0.0078478
                     27,                 1.0552,                 1.1085,                 1.0787,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0077617,              0.0077617,              0.0077617
                     28,                 1.1601,                 1.1511,                  1.093,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0076757,              0.0076757,              0.0076757
                     29,                 1.1145,                 1.1469,                 1.0743,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0075896,              0.0075896,              0.0075896
                     30,                 1.1155,                 1.0725,                 1.0319,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0075035,              0.0075035,              0.0075035
                     31,                 1.0865,                 1.0638,                 1.0425,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0074174,              0.0074174,              0.0074174
                     32,                 1.0943,                  1.069,                 1.0009,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0073313,              0.0073313,              0.0073313
                     33,                 1.1305,                 1.2213,                 1.1163,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0072452,              0.0072452,              0.0072452
                     34,                 1.1215,                 1.3431,                 1.0483,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0071591,              0.0071591,              0.0071591
                     35,                 1.1118,                 1.1514,                 1.0846,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007073,               0.007073,               0.007073
                     36,                 1.0711,                 1.0153,                 1.0013,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006987,               0.006987,               0.006987
                     37,                 1.0102,                0.94282,                0.96833,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0069009,              0.0069009,              0.0069009
                     38,                 1.0552,                 0.9666,                0.99596,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0068148,              0.0068148,              0.0068148
                     39,                 1.0637,                 1.0498,                 1.0602,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0067287,              0.0067287,              0.0067287
                     40,                 1.0105,                0.93784,                0.98495,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0066426,              0.0066426,              0.0066426
                     41,                 1.1069,                0.95224,                0.95081,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0065565,              0.0065565,              0.0065565
                     42,                  1.122,                  1.063,                 1.1009,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0064704,              0.0064704,              0.0064704
                     43,                 1.1023,                0.90334,                 1.0449,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0063843,              0.0063843,              0.0063843
                     44,                   1.07,                0.93285,                 1.0118,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0062983,              0.0062983,              0.0062983
                     45,                 1.0904,                0.93766,                 1.0031,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0062122,              0.0062122,              0.0062122
                     46,                 1.0319,                0.99212,                   1.02,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0061261,              0.0061261,              0.0061261
                     47,                 1.0721,                0.97864,                 1.0302,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     48,                0.96333,                0.85949,                0.97543,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0059539,              0.0059539,              0.0059539
                     49,                 1.0676,                0.92453,                 1.0259,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0058678,              0.0058678,              0.0058678
                     50,                  1.106,                 1.0186,                 1.0429,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057817,              0.0057817,              0.0057817
                     51,                 1.0153,                0.90333,                 1.0462,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0056957,              0.0056957,              0.0056957
                     52,                0.96988,                0.82223,                0.96059,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0056096,              0.0056096,              0.0056096
                     53,                 1.0031,                0.80738,                0.97683,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0055235,              0.0055235,              0.0055235
                     54,                 1.0169,                0.87647,                 1.0215,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0054374,              0.0054374,              0.0054374
                     55,                 1.0543,                0.86858,                 1.0234,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0053513,              0.0053513,              0.0053513
                     56,                0.98726,                0.82579,                 1.0017,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0052652,              0.0052652,              0.0052652
                     57,                0.94812,                0.85008,                 0.9662,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0051791,              0.0051791,              0.0051791
                     58,                 1.0551,                0.88914,                 1.0544,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005093,               0.005093,               0.005093
                     59,                 1.0101,                0.87377,                 1.0227,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005007,               0.005007,               0.005007
                     60,                0.98116,                 0.8555,                0.98712,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0049209,              0.0049209,              0.0049209
                     61,                0.97117,                0.78201,                 1.0078,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0048348,              0.0048348,              0.0048348
                     62,                 0.9391,                0.80325,                0.97846,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0047487,              0.0047487,              0.0047487
                     63,                 1.0586,                 1.0034,                 1.0577,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0046626,              0.0046626,              0.0046626
                     64,                0.98402,                0.82137,                 1.0094,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0045765,              0.0045765,              0.0045765
                     65,                  1.002,                 0.8264,                0.99653,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0044904,              0.0044904,              0.0044904
                     66,                0.96799,                0.84004,                0.98891,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0044043,              0.0044043,              0.0044043
                     67,                0.99891,                0.79181,                0.96395,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0043183,              0.0043183,              0.0043183
                     68,                0.96575,                0.77937,                0.97852,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0042322,              0.0042322,              0.0042322
                     69,                 1.0367,                0.83606,                 1.0271,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0041461,              0.0041461,              0.0041461
                     70,                 1.0467,                0.88184,                 1.0613,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                     71,                0.96343,                0.82936,                 1.0094,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0039739,              0.0039739,              0.0039739
                     72,                0.90833,                0.72491,                0.92275,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0038878,              0.0038878,              0.0038878
                     73,                0.99131,                0.85713,                 1.0512,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0038017,              0.0038017,              0.0038017
                     74,                 1.0172,                0.89438,                  1.128,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037157,              0.0037157,              0.0037157
                     75,                0.92462,                0.75058,                0.96585,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0036296,              0.0036296,              0.0036296
                     76,                0.88487,                0.69348,                0.95182,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0035435,              0.0035435,              0.0035435
                     77,                0.83345,                0.66267,                0.89719,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0034574,              0.0034574,              0.0034574
