                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1624,                 26.152,                 1.6836,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.07075,                0.00325,                0.00325
                      1,                  1.852,                 6.3246,                 1.4614,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.040731,              0.0065647,              0.0065647
                      2,                 1.5407,                 4.1846,                 1.3927,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.010694,              0.0098606,              0.0098606
                      3,                  1.434,                 5.0957,                 1.2224,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099151,              0.0099151,              0.0099151
                      4,                 1.5151,                 3.4037,                 1.3073,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099151,              0.0099151,              0.0099151
                      5,                 1.5234,                 3.3125,                 1.3146,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098869,              0.0098869,              0.0098869
                      6,                 1.5235,                 4.0099,                 1.3453,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098586,              0.0098586,              0.0098586
                      7,                 1.4515,                 3.5464,                 1.2532,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098303,              0.0098303,              0.0098303
                      8,                 1.4665,                 3.0412,                  1.211,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009802,               0.009802,               0.009802
                      9,                 1.3524,                 2.5507,                  1.193,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097737,              0.0097737,              0.0097737
                     10,                 1.3559,                    3.4,                  1.209,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097454,              0.0097454,              0.0097454
                     11,                 1.3296,                 2.9949,                 1.1979,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097171,              0.0097171,              0.0097171
                     12,                 1.2325,                 2.4533,                 1.1096,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0096889,              0.0096889,              0.0096889
                     13,                 1.3343,                 2.2594,                  1.218,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0096606,              0.0096606,              0.0096606
                     14,                 1.2815,                 1.9909,                  1.184,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0096323,              0.0096323,              0.0096323
                     15,                   1.28,                 1.9731,                 1.2168,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
                     16,                 1.1708,                 1.5177,                 1.0915,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0095757,              0.0095757,              0.0095757
                     17,                 1.2289,                 1.6332,                 1.1602,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0095474,              0.0095474,              0.0095474
                     18,                 1.2489,                 1.5804,                 1.1325,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0095191,              0.0095191,              0.0095191
                     19,                 1.2868,                  1.483,                 1.1173,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0094909,              0.0094909,              0.0094909
                     20,                 1.3435,                 1.5826,                 1.1808,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0094626,              0.0094626,              0.0094626
                     21,                 1.2401,                 1.4403,                 1.1344,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0094343,              0.0094343,              0.0094343
