                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1698,                 7.2354,                 2.0276,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0892,                 0.0012,                 0.0012
                      1,                 3.0958,                  6.574,                 1.9872,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.077401,               0.002401,               0.002401
                      2,                 3.1204,                 5.0027,                 1.9352,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.065499,               0.003499,               0.003499
                      3,                 2.8753,                 4.2721,                 1.8469,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.053494,              0.0044941,              0.0044941
                      4,                 2.9339,                 3.9527,                 1.7823,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.041386,              0.0053862,              0.0053862
                      5,                  2.774,                 3.6036,                 1.6977,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.029175,              0.0061754,              0.0061754
                      6,                  2.809,                 3.4604,                 1.6512,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.016862,              0.0068616,              0.0068616
                      7,                 2.8423,                  3.552,                 1.7184,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007228,               0.007228,               0.007228
                      8,                 2.6513,                 3.1702,                 1.5772,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007228,               0.007228,               0.007228
                      9,                 2.7332,                 3.3264,                 1.5558,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006832,               0.006832,               0.006832
                     10,                 2.8366,                 3.5817,                 1.5428,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006436,               0.006436,               0.006436
                     11,                 2.6576,                 3.1279,                 1.4712,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     12,                 2.7025,                  3.191,                 1.5324,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005644,               0.005644,               0.005644
                     13,                 2.6797,                 3.1116,                 1.5059,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005248,               0.005248,               0.005248
                     14,                 2.8174,                  3.124,                 1.6093,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004852,               0.004852,               0.004852
                     15,                 2.3538,                 3.1924,                 1.4073,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004456,               0.004456,               0.004456
                     16,                  2.358,                 3.4379,                 1.4311,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                     17,                 2.3068,                 3.2302,                 1.5001,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003664,               0.003664,               0.003664
                     18,                 2.3171,                 2.9248,                 1.3896,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003268,               0.003268,               0.003268
                     19,                 2.3607,                 2.9507,                 1.4361,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002872,               0.002872,               0.002872
                     20,                 2.2454,                 2.7624,                 1.3805,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002476,               0.002476,               0.002476
                     21,                 2.3113,                 2.7956,                 1.4297,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00208,                0.00208,                0.00208
                     22,                 2.2947,                 2.9646,                 1.3944,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001684,               0.001684,               0.001684
                     23,                 2.3381,                 2.9318,                 1.3709,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001288,               0.001288,               0.001288
                     24,                 2.2545,                 2.9141,                 1.3964,                0.69928,                0.10398,                 0.1136,                0.06929,                 1.9406,                 2.4545,                 1.1665,               0.000892,               0.000892,               0.000892
